Country,Jan,Feb,Mar,April,May,June,July,August,Sep,Oct,Total
Jamaica,4,11,18,1,7,12,7,5,12,9,86
Japan,1993,2666,2575,1949,1581,1666,2202,4102,3526,2392,24652
Jordan,180,227,85,313,149,373,275,173,151,315,2241
Kazakhstan,3350,2682,2266,152,65,96,168,71,99,213,9162
Kenya,42,64,80,45,45,29,128,54,79,42,608
Kiribati,0,0,1,0,0,0,0,0,0,0,1
Kosovar,1,4,3,3,5,2,1,1,6,3,29
Kuwait,231,222,59,225,77,231,198,207,119,70,1639
Kyrgyzstan,239,219,108,50,32,25,65,21,35,34,828
"Lao, People's Democratic ",4,13,11,12,18,19,11,9,4,1,102
Latvia,750,654,670,146,22,30,30,23,29,152,2506
Lebanon,155,293,242,671,216,308,283,244,163,110,2685
Lesotho,0,1,3,0,0,0,1,1,3,0,9
Liberia,0,1,0,0,0,1,4,1,1,2,10
Libya,2,7,0,3,11,4,2,6,0,5,40
Liechtenstein,7,9,5,10,2,3,10,5,3,7,61
Lithuania,1015,1601,1219,401,69,73,174,111,92,285,5040
Luxembourg,70,86,104,81,37,13,77,109,13,29,619
Macedonia,20,24,16,23,29,10,25,14,16,30,207
Madagascar,13,10,19,7,5,7,28,11,6,10,116
Malawi,3,0,5,3,4,1,10,2,2,5,35
Malaysia,1096,2250,1721,1277,1204,1384,1596,1571,1954,1013,15066
Maldives,2919,3235,1562,2938,8040,5109,3097,3198,4359,2880,37337
Mali,0,1,1,1,0,1,1,2,3,1,11
Malta,92,125,125,38,21,14,61,136,108,23,743
Marshall Islands,1,0,0,0,0,0,0,0,0,1,2
Mauritania,0,0,4,1,1,0,0,0,1,2,9
Country,Jan,Feb,Mar,April, May ,June,July,August,Sep,Oct,Total
Mauritius,48,53,43,59,25,25,33,57,20,21,384
Micronesia ,0,0,1,0,0,0,0,1,0,1,3
Mexico,96,95,111,155,57,38,44,58,100,90,844
Moldova,134,166,92,81,8,2,13,11,6,18,531
Monaco,5,11,1,3,0,0,4,2,1,3,30
Mongolia,15,6,7,4,8,22,10,1,20,2,95
Montenegro,34,19,17,18,2,3,6,9,1,5,114
Morocco,62,103,35,131,59,80,87,112,78,100,847
Mozambique,2,2,5,1,7,4,1,1,2,3,28
Myanmar,106,101,110,125,83,117,194,417,33,82,1368
Namibia,3,5,5,3,0,2,6,0,2,1,27
Nauru,0,0,2,0,0,0,0,0,0,0,2
Nepal,625,508,309,284,282,200,382,252,234,552,3628
Netherlands,4531,4011,3707,3437,1845,1935,11431,5355,3725,2859,42836
Netherlands Antilles,0,0,0,0,0,0,0,0,1,0,1
New Zealand,732,567,1032,1116,664,853,1017,1011,1033,780,8805
Nicaragua,1,1,1,1,0,1,0,0,1,0,6
Niger,0,1,0,1,0,0,0,0,0,0,2
Nigeria,1,11,3,9,0,1,9,5,18,7,64
Norway,1226,1329,1033,548,379,1452,1800,486,443,442,9138
Oman,236,116,28,125,139,322,685,473,185,155,2464
Pakistan,956,1299,941,797,938,1399,1848,1040,556,1140,10914
Palau,0,0,0,0,0,0,0,0,33,0,33
Palestinian Territories,25,61,8,57,31,81,96,65,0,36,460
Panama,4,7,5,3,2,0,3,1,4,3,32
Papua New Guinea,3,1,28,3,0,4,2,5,9,6,61
Paraguay,2,2,4,2,2,1,1,0,0,1,15
Peru,24,13,24,42,16,11,16,25,13,32,216
Philippines,262,440,395,578,395,544,500,465,398,407,4384
Poland,7800,6909,4789,2349,1002,1047,2257,2240,2243,2132,32768
Portugal,487,654,670,530,314,281,351,667,410,633,4997
Qatar,41,45,16,99,39,80,156,102,19,33,630
Romania,853,940,638,655,147,192,264,336,254,354,4633
Russian Federation,31159,32030,28016,15103,4384,3412,4578,4351,4199,10367,137599
Rwanda,1,6,3,2,1,5,4,2,8,3,35
Country,Jan,Feb,Mar,April, May ,June,July,August,Sep,Oct,Total
Saint Kitts and Nevis,17,12,10,26,10,10,8,8,9,9,119
Saint Lucia,1,1,2,0,0,4,1,1,1,15,26
Saint Vincent The Grenadi,0,1,0,0,1,0,1,0,0,1,4
Samoa,0,0,0,0,0,1,0,0,0,1,2
San Marino,6,0,0,0,2,4,0,1,2,3,18
Saudi Arabia,511,549,91,360,213,990,1276,330,319,251,4890
Senegal,4,2,0,3,0,1,2,0,0,2,14
Serbia,314,293,239,222,32,52,91,107,103,147,1600
Seychelles,211,149,198,289,117,238,222,327,196,143,2090
Sierra Leone,2,2,2,3,0,1,4,3,1,2,20
Singapore,804,862,1166,858,914,1284,853,1215,710,717,9383
Slovakia,990,1179,945,535,173,163,292,290,255,439,5261
Slovenia,275,611,194,338,46,115,417,186,188,297,2667
Solomon Islands,0,1,0,0,0,1,1,1,3,1,8
Somalia,6,4,10,8,5,4,6,19,7,12,81
South Africa,332,350,548,474,195,349,333,324,299,259,3463
South Korea ,1677,830,861,637,571,579,1009,698,608,876,8346
South Sudan,3,1,0,0,0,0,0,1,0,3,8
Spain,2004,2036,2706,2166,1369,2081,4224,7262,4166,3458,31472
Sudan,54,41,14,68,69,116,122,77,62,112,735
Swaziland,2,0,1,0,2,0,3,4,1,5,18
Suriname,2,0,0,3,0,1,2,2,0,0,10
Sweden,1921,1903,1331,537,278,568,716,290,345,716,8605
Switzerland,2951,2888,2522,2557,1345,1291,5089,1856,1778,1816,24093
Syrian Arab Republic,2,10,0,7,3,1,0,0,0,1,24
Taiwan ,1017,1443,971,451,419,647,645,755,607,857,7812
Tajikistan,18,8,11,10,10,12,11,20,8,17,125
Tanzania,12,25,15,11,14,18,74,15,20,18,222
Thailand,505,716,928,834,583,364,483,598,384,581,5976
Timor-Leste,4,0,3,6,2,2,0,0,0,1,18
Togo,0,0,1,0,1,1,0,3,0,2,8
Tonga,1,0,0,2,3,4,1,1,0,1,13
Trinidad and Tobago,6,16,14,8,10,7,5,6,4,8,84
Tunisia,56,136,27,152,57,59,79,54,45,165,830
Turkey,717,663,473,910,294,572,403,448,361,409,5250
Turkmenistan,11,5,9,8,3,1,14,6,2,21,80
Tuvalu,0,0,0,0,0,2,0,0,0,0,2
Uganda,11,33,15,29,16,13,18,13,10,8,166
Ukraine,1485,1193,907,437,203,206,214,203,191,350,5389
United Arab Emirates,219,227,72,378,229,591,836,562,270,304,3688
United Kingdom,16665,20614,21540,13173,8094,9266,20837,17587,8688,10206,146670
Country,Jan,Feb,Mar,April, May ,June,July,August,Sep,Oct,Total
United States,5712,5709,7617,5574,4082,4023,4962,3539,2460,3170,46848
Uruguay,12,16,11,8,20,5,3,4,7,4,90
Uzbekistan,402,70,71,57,32,42,64,28,31,70,867
Vanuatu,1,2,6,4,2,13,6,9,5,6,54
Venezuela,3,17,19,25,6,11,8,9,8,10,116
Viet Nam,166,270,304,235,290,237,279,293,183,202,2459
Yemen ,29,65,11,26,14,43,73,45,11,21,338
Zambia,1,3,6,1,2,1,0,3,1,11,29
Zimbabwe,36,12,25,16,11,14,13,11,3,14,155
,208253,218350,209181,148867,112128,113470,187810,164609,122140,135907,1620715
