Entity,Code,Year,"Air transport, passengers carried"
Thailand,THA,2000,17392092.0
Togo,TGO,2000,77273.0
Tonga,TON,2000,51615.0
Trinidad and Tobago,TTO,2000,1254425.0
Tunisia,TUN,2000,1907876.0
Turkey,TUR,2000,12187891.0
Turkmenistan,TKM,2000,1283780.0
Uganda,UGA,2000,39379.0
Ukraine,UKR,2000,950697.0
United Arab Emirates,ARE,2000,6893085.0
United Kingdom,GBR,2000,70436032.0
United States,USA,2000,665327424.0
Upper middle income,,2000,222855136.0
Uruguay,URY,2000,642027.0
Uzbekistan,UZB,2000,1744510.0
Vanuatu,VUT,2000,101503.0
Venezuela,VEN,2000,4295000.0
Vietnam,VNM,2000,2877894.0
World,OWID_WRL,2000,1674064768.0
Yemen,YEM,2000,841609.0
Zambia,ZMB,2000,89628.0
Zimbabwe,ZWE,2000,607976.0
